label,text
ham,WHO ARE YOU SEEING?
ham,No calls..messages..missed calls
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,"Fair enough, anything going on?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,What you thinked about me. First time you saw me in class.
ham,OK fyi has a ride early tomorrow morning but he's crashing at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg. Customer care. Terms and Conditions apply
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE!. 1:50pm. Dont miss out!"
ham,"Sorry, I'll call you later. In a meeting."
ham,Tell where you reached
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I come by now?"
ham,"I'm back, lemme know when you're ready"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable friends but first reply me..."""
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED.
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,I plan to give on this month end.
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
ham,I'm home. Let me know once you are there.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING?
ham,U can call me now...
ham,I am waiting machan. Call me once you free.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,I like you peoples very much:) but am very shy pa.
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Sorry, I'll call later"
ham,K. Did you call me just now ah?
ham,Ok i am on the way to home hi hi
ham,You will be in the place of that man
ham,Sorry to trouble u again. Can you buy grocery for my dad again?
ham,"I call you later, don't have network. If urgnt, sms me."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,I'm really not up to it still tonight babe
ham,Good. Good job. I like entrepreneurs
ham,What you doing? how are you?
spam,Rs.8850 on Successful Registration.!!
spam,Claim your free t-shirt today and put our A-Team of security experts to the test with a free trial.
ham,Inviting you to the farewell party
spam,Your email has won the sum of £800 000 in the Qatar 2022 FIFA Promo.
spam,Free Bitcoin upto ? 1 Lakh every day
ham,There will be a meeting today evening in the seminar hall
spam,Want to Study Abroad this 2022? You absolutely cannot miss this!
ham,How is your fever? Get well soon.
spam,hello - your medical Card XXX is ready
ham,Send me the assignment
spam,Intense matches massive rewards!
spam,Bitcoin Worth? 50 Lakhs to be won daily
ham,Hello dear Hope you are fine
ham,How was your exams?
ham,Will you come tomorrow?
spam,Choose personalized gifts this festive season. Shop from a variety of options like Mugs Calendars Pens Notebooks & more
ham,Will call you later
spam,1872+ Excel Templates to Get your Work Done Faster & Smarter
ham,How is it there?
spam,Expires soon: Rs.500 off on Lenskart eyewear worth Rs. 2500.Use code Valid till 04 Nov. TnC Apply
ham,Please call me in the evening
ham,Congratulations on your new job role
spam,Lenskart store at Padivattom is now open for your essential Eyewear needs. Call 9873401513
spam,Your Rs.75 1mg Cash + Flat 25% OFF + 5% 1mg Cash on medicines end in 4 hours! Get Extra Rs.75 Paytm cashback & more offers
ham,Can't talk now. Call me later?
spam,Highest Discount Ever.Use your Rs.75 1mg Cash & get FLAT 25% OFF
spam,Sale Ends Tomorrow
ham,I'll call you right back
ham,Call me very urgent
spam,EARLY ACCESS LIVE NOW: Big Diwali Sale on Shopsy. Enjoy shopping with up to 80% off and earn with every purchase. Shop Now!
ham,Sorry. Just ignore this message. Was sent by mistake
spam,Hey look! We have handpicked the most-ordered smartphones under Rs. 9 999 on Shopsy! Hurry shop & earn now
ham,Thanks for the email. See you later
ham,See you tomorrow morning
spam,Your 50% Discount worth Rs.25 is expiring soon!
ham,Call me when you are free
spam,Be the first to grab exclusive deals with Flipkart Pay Later. Shop during The Big Billion Days & Pay Next Month.
spam,Join gaming community Fleet of Gamers & get Rs.500 Off on Laptops on Flipkart!
spam,THE BIGGEST SALE OF THE YEAR ON TABLETS is here! UP to 45% off on top brands & Exciting new launches.
ham,Don't forget to take your jackets as it is so cold here
ham,We are happy to inform you that you have successfully passed the assessment test
ham,This work is to be done during today's MI LAB session.
ham,"Dear students. This work for today's MI Lab session. So, start performing this activity from now itself and complete it within the time scheduled"
ham,"Based on the student's request, the time for assignment submission changed to tomorrow"
spam,40% off Creative Cloud Don't miss this incredible deal to create anything you imagine using the world's best creative apps at just Rs.2394.22/mo. Incl. GST.
ham,please find attached spreadsheet. let me know if you have any questions or comments .
ham,please see the attached files
ham,"sorry for any duplicate , having problems with lotus notes."
ham,Ok i am on the way to home
ham,I am waiting machan. Call me once you are free
spam,[Last 24 hours] Get it now for free! Become a pro dev with FAANG Bundles now. Exciting rewards awaiting.
spam,Give your gifts a personalised twist with Cadbury Gifting! Join the reward program
ham,"Sir, Waiting for your mail."
ham,Finished class where are you.
ham,"Sorry, I'll call later. In a meeting."
ham,"I will call you later, don't have network. If urgent, sms me."
spam,The Extravaganza of Dubai Expo 2020 has started! Get your free tickets now! Hurry up!
ham,Please don't text me anymore. I have nothing else to say.
ham,Congratulations on you new job role
ham,Please find the attached document
ham,"Dear, Here are the details which you have asked for"
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you happy?"
ham,Text her. If she doesnt reply let me know so i can have her log in
ham,Dont worry. I guess he's busy.
